OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU1715,0,0,0,0,0,0,0,0,0,0,0,41
OTU1716,25,0,0,0,32,8,0,80,0,0,0,0
OTU1717,0,8,0,148,0,0,0,0,6,0,104,4
OTU1718,0,17,8,0,135,114,300,0,0,0,0,0
OTU1723,0,0,0,0,0,0,0,0,0,123,0,0
OTU1727,0,0,0,0,41,0,0,0,0,0,0,13
OTU1733,0,0,0,0,0,0,0,0,0,0,0,58
OTU1734,12,0,0,0,48,0,0,0,0,0,0,0
OTU1735,59,0,0,10,68,0,0,67,0,0,0,0
OTU1737,8,318,62,76,174,1234,11696,4008,859,370,70,53
OTU1738,110,0,0,0,0,0,0,0,0,75,71,208
OTU1739,0,23,0,0,0,0,0,0,58,0,0,0
OTU1740,0,0,0,159,0,343,45,0,0,15,0,0
OTU1741,0,0,0,0,0,0,167,0,0,0,0,0
OTU1742,0,24,0,33,0,0,0,105,0,0,0,0
OTU1743,0,0,0,0,0,27,0,0,0,0,0,0
OTU1744,0,0,0,0,13,0,0,55,0,0,0,0
OTU1745,99,12,0,0,0,0,0,0,0,0,9,15
OTU1746,40,0,0,0,0,0,12,0,0,0,0,10
OTU1748,0,6,0,0,0,17,402,0,0,0,0,0
OTU1754,0,0,0,0,0,0,0,0,0,0,0,39
OTU1755,0,0,0,38,0,0,0,0,0,0,0,0
OTU1758,0,0,0,0,0,0,0,58,0,0,0,0
OTU1760,0,0,0,24,0,0,0,0,0,0,0,0
OTU1761,281,0,0,0,0,22,12,0,0,0,0,659
OTU1762,22,1,0,0,0,0,0,0,0,0,0,246
OTU1763,0,2,7,0,2,0,0,21,0,0,0,0
OTU1766,0,0,0,25,0,0,0,0,0,0,0,0
OTU1767,0,0,12,0,15,0,0,0,38,0,0,0
OTU1769,0,7,0,18,0,0,0,0,0,0,0,8
OTU1774,0,0,0,0,0,0,0,0,20,50,0,0
OTU1776,61,0,0,0,0,0,0,0,0,0,0,0
OTU1779,0,0,0,0,0,0,68,0,0,0,0,0
OTU1781,0,0,0,0,26,0,0,0,0,0,0,0
OTU1786,158,0,0,0,0,0,0,0,0,0,0,126
OTU1792,637,0,18,0,0,0,0,0,0,0,0,216
OTU1795,736,0,10,0,0,73,0,0,0,0,0,170
OTU1807,40,0,0,0,0,0,0,0,0,0,0,0
OTU1809,46,0,0,0,0,0,0,0,0,0,0,0
OTU1818,250,0,11,0,0,0,0,0,0,0,0,0
OTU1821,157,0,0,0,0,0,0,0,0,0,0,95
OTU1824,0,0,0,0,0,0,0,0,0,27,0,0
OTU1830,0,0,0,4,0,760,25,0,0,0,0,13
OTU1833,0,0,0,0,0,25,8,0,0,0,0,0
